day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,SK와이번스,,,
4.7,SK 와이번스,10,0,1,2,1,0,1,인천,8.3,0,33,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.8,SK 와이번스,8,0,0,5,1,0,1,인천,10.6,0,68,,,5-15,9.086206897,1.198275862,0.706896552,7.301724138,0.646551724,0.715517241
4.11,SK 와이번스,6,1,3,13,0,0,1,서울,15.9,0,52,,,15-25,9.239685658,1.119842829,0.793713163,7.223968566,0.685658153,0.721021611
4.12,SK 와이번스,6,0,0,6,0,0,0,서울,10.3,0,35,,,25-35,9.558441558,1.140692641,0.751082251,6.902597403,0.731601732,0.668831169
4.13,SK 와이번스,6,0,0,13,0,0,1,인천,9.5,0,69,,,35-45,8.25,1.5,0.75,6.75,0,0.75
4.14,SK 와이번스,4,1,2,8,0,1,1,인천,11,0,77,,,총합계,9.35472044,1.138405133,0.766269478,7.094408799,0.698441797,0.698441797
4.15,SK 와이번스,12,2,1,7,0,1,1,인천,13.8,0,52,,,,,,,,,
4.17,SK 와이번스,8,0,1,10,0,0,0,부산,14.5,0,53,,,,,,,,,
4.18,SK 와이번스,15,2,1,7,0,1,1,부산,15.2,0,35,,,,,,,,,
4.19,SK 와이번스,11,2,0,12,3,0,0,부산,14.8,0,70,,,,,,,,,
4.2,SK 와이번스,7,1,0,5,0,0,0,서울,22.3,0,32,,,,,,,,,
4.24,SK 와이번스,1,1,1,5,0,1,0,인천,20.9,0,65,,,,,,,,,
4.26,SK 와이번스,6,0,0,10,0,0,0,인천,11.8,0,56,,,,,,,,,
4.27,SK 와이번스,10,1,2,7,0,0,1,인천,17,0,25,,,,,,,,,
4.28,SK 와이번스,11,1,0,6,0,0,1,인천,16.8,0,54,,,,,,,,,
4.29,SK 와이번스,6,1,0,7,0,1,0,인천,20.9,0,54,,,,,,,,,
5.4,SK 와이번스,8,3,0,13,0,0,1,인천,17.8,0,52,,,,,,,,,
5.5,SK 와이번스,6,0,0,7,1,1,0,인천,18.5,0,34,,,,,,,,,
5.6,SK 와이번스,9,3,1,8,1,0,1,인천,15.6,0,47,,,,,,,,,
5.8,SK 와이번스,7,0,0,7,1,0,1,서울,26.6,0,19,,,,,,,,,
5.9,SK 와이번스,14,2,0,5,1,0,1,서울,25,0,38,,,,,,,,,
5.1,SK 와이번스,11,1,2,3,1,2,0,서울,24.4,0,35,,,,,,,,,
5.11,SK 와이번스,9,2,1,6,0,0,0,인천,17.9,0,64,,,,,,,,,
5.12,SK 와이번스,3,0,1,3,0,0,1,인천,17.9,0,59,,,,,,,,,
5.13,SK 와이번스,6,1,0,3,1,0,1,대전,20.5,0,43,,,,,,,,,
5.15,SK 와이번스,10,0,0,4,0,1,0,인천,13.4,0,86,,,,,,,,,
5.16,SK 와이번스,13,1,0,6,0,3,1,인천,16.7,0,75,,,,,,,,,
5.17,SK 와이번스,2,0,0,3,0,0,0,인천,18.2,0,56,,,,,,,,,
5.18,SK 와이번스,9,2,2,8,0,0,1,대전,24.2,0,32,,,,,,,,,
5.19,SK 와이번스,12,3,0,6,1,0,1,대전,23.5,0,31,,,,,,,,,
5.2,SK 와이번스,15,4,0,3,1,0,1,대전,27.2,0,29,,,,,,,,,
5.22,SK 와이번스,7,1,0,6,2,0,0,인천,24.1,0,41,,,,,,,,,
5.23,SK 와이번스,5,0,0,3,0,0,0,인천,22.3,0,36,,,,,,,,,
5.24,SK 와이번스,6,0,0,2,1,1,0,인천,19.1,0,61,,,,,,,,,
5.25,SK 와이번스,6,1,0,6,1,1,0,대구,26.6,0,30,,,,,,,,,
5.26,SK 와이번스,9,0,1,5,0,1,1,대구,28,0,12,,,,,,,,,
5.27,SK 와이번스,11,1,0,6,0,0,1,대구,28.5,0,24,,,,,,,,,
5.29,SK 와이번스,6,0,0,5,0,1,0,서울,23.9,0,32,,,,,,,,,
5.3,SK 와이번스,13,0,1,10,0,0,1,서울,22.5,0,37,,,,,,,,,
5.31,SK 와이번스,10,3,1,8,3,1,0,서울,23.6,0,44,,,,,,,,,
6.1,SK 와이번스,4,1,2,3,0,0,1,인천,22.4,0,59,,,,,,,,,
6.2,SK 와이번스,4,0,0,5,0,0,1,인천,23.6,0,49,,,,,,,,,
6.3,SK 와이번스,8,0,0,5,1,0,0,인천,24.8,0,43,,,,,,,,,
6.5,SK 와이번스,9,1,1,6,0,0,1,서울,24.2,0,57,,,,,,,,,
6.6,SK 와이번스,4,0,0,14,0,0,0,서울,25.2,0,49,,,,,,,,,
6.7,SK 와이번스,12,1,0,6,1,0,1,서울,26.3,0,51,,,,,,,,,
6.8,SK 와이번스,8,2,1,7,1,0,1,인천,22.6,0,74,,,,,,,,,
6.9,SK 와이번스,9,0,0,6,0,3,0,인천,25.3,0,62,,,,,,,,,
6.1,SK 와이번스,10,2,1,2,0,0,1,인천,24.2,0,78,,,,,,,,,
6.12,SK 와이번스,11,3,0,8,2,1,1,서울,21.6,0.1,73,,,,,,,,,
6.13,SK 와이번스,11,1,0,7,1,0,0,서울,27.3,0,43,,,,,,,,,
6.14,SK 와이번스,6,0,0,4,0,0,1,서울,29.5,0,33,,,,,,,,,
6.15,SK 와이번스,7,0,0,4,0,2,1,인천,25.6,0,60,,,,,,,,,
6.16,SK 와이번스,7,0,0,5,0,0,1,인천,23.1,0,83,,,,,,,,,
6.17,SK 와이번스,8,1,0,7,2,0,0,인천,24.2,0,68,,,,,,,,,
6.19,SK 와이번스,8,0,1,7,2,0,0,인천,29.5,0,47,,,,,,,,,
6.2,SK 와이번스,7,1,2,7,1,0,1,인천,23.8,0,86,,,,,,,,,
6.21,SK 와이번스,7,0,0,8,1,0,0,인천,26.1,0,66,,,,,,,,,
6.22,SK 와이번스,12,2,1,5,3,2,1,광주,27.4,0,49,,,,,,,,,
6.23,SK 와이번스,10,0,0,7,0,0,0,광주,27.2,0,52,,,,,,,,,
6.24,SK 와이번스,7,0,0,7,1,2,0,광주,27.6,0,55,,,,,,,,,
6.26,SK 와이번스,6,3,1,9,0,2,0,대구,21.8,0,63,,,,,,,,,
6.27,SK 와이번스,7,1,2,7,0,0,1,대구,20.9,0,72,,,,,,,,,
6.28,SK 와이번스,7,0,0,8,0,1,0,대구,25.4,0,57,,,,,,,,,
6.3,SK 와이번스,5,0,2,9,0,1,0,인천,20.4,0,100,,,,,,,,,
7.1일,SK 와이번스,12,2,0,2,2,0,0,인천,23.7,0,83,,,,,,,,,
7.3화,SK 와이번스,11,0,0,5,0,0,0,부산,26.6,0,64,,,,,,,,,
7.4수,SK 와이번스,10,2,1,8,0,1,0,부산,26.2,0,69,,,,,,,,,
7.7토,SK 와이번스,6,1,0,6,1,0,0,대전,28.6,0,56,,,,,,,,,
7.8일,SK 와이번스,2,0,0,10,0,0,0,대전,30.2,0,65,,,,,,,,,
7.11수,SK 와이번스,9,0,1,8,0,0,0,인천,22.8,0,91,,,,,,,,,
7.12목,SK 와이번스,10,1,0,3,2,0,1,인천,26.4,0,78,,,,,,,,,
7.13금,SK 와이번스,9,0,0,4,1,0,1,인천,26.6,0,88,,,,,,,,,
7.14토,SK 와이번스,10,1,0,9,0,1,1,인천,24.6,0,84,,,,,,,,,
7.17화,SK 와이번스,7,0,0,6,0,0,0,서울,27.9,0,63,,,,,,,,,
7.18수,SK 와이번스,9,0,2,10,1,0,0,서울,27.6,0,81,,,,,,,,,
7.19목,SK 와이번스,17,1,2,5,1,0,1,서울,23.4,0,85,,,,,,,,,
7.24화,SK 와이번스,15,1,2,6,2,0,1,대구,33.9,0,45,,,,,,,,,
7.25수,SK 와이번스,11,1,1,8,0,1,0,대구,34.7,0,44,,,,,,,,,
7.26목,SK 와이번스,6,0,2,11,1,1,0,대구,34.3,0,45,,,,,,,,,
7.27금,SK 와이번스,9,0,1,3,2,2,0,인천,29,0,80,,,,,,,,,
7.28토,SK 와이번스,5,0,1,9,0,0,1,인천,29.4,0,84,,,,,,,,,
7.31화,SK 와이번스,9,0,2,7,1,0,0,인천,29.1,0,77,,,,,,,,,
8.1,SK 와이번스,11,1,0,3,0,1,1,인천,32.7,0,0,,,,,,,,,
8.2,SK 와이번스,11,3,1,8,0,1,1,인천,33.6,0,0,,,,,,,,,
8.3,SK 와이번스,7,1,1,8,1,1,0,대전,33.7,0,0,,,,,,,,,
8.4,SK 와이번스,12,0,3,8,0,0,1,대전,34.1,0,0,,,,,,,,,
8.5,SK 와이번스,3,0,1,4,0,0,1,대전,35.6,0,0,,,,,,,,,
8.7,SK 와이번스,7,0,0,2,0,0,1,인천,27.9,7.7,7.7,,,,,,,,,
8.8,SK 와이번스,8,1,2,11,1,0,0,인천,31.2,0,0,,,,,,,,,
8.9,SK 와이번스,7,1,1,7,0,0,1,인천,29.1,0,0,,,,,,,,,
8.1,SK 와이번스,6,2,2,6,0,0,1,서울,28.3,0,0,,,,,,,,,
8.11,SK 와이번스,6,0,1,3,0,0,0,서울,30.1,0,0,,,,,,,,,
8.14,SK 와이번스,5,0,0,5,0,0,0,부산,26.3,0.5,0.5,,,,,,,,,
8.15,SK 와이번스,13,0,1,5,0,0,1,부산,28.4,0,0,,,,,,,,,
8.16,SK 와이번스,10,0,0,4,1,1,1,부산,29.2,0,0,,,,,,,,,
8.17,SK 와이번스,12,1,0,3,0,0,1,인천,28.8,0,0,,,,,,,,,
8.18,SK 와이번스,6,1,0,7,0,0,1,인천,27,0,0,,,,,,,,,
8.19,SK 와이번스,5,0,2,10,0,1,1,인천,27.4,0,0,,,,,,,,,
8.22,SK 와이번스,6,2,0,10,1,0,1,인천,23.1,0,0,,,,,,,,,
8.23,SK 와이번스,9,0,1,9,0,0,1,인천,26,0,0,,,,,,,,,
8.24,SK 와이번스,5,1,2,11,0,0,0,서울,24.9,0,0,,,,,,,,,
8.25,SK 와이번스,13,1,1,7,1,1,1,서울,28.2,0,0,,,,,,,,,
8.26,SK 와이번스,5,0,1,8,2,2,0,서울,31.6,0,0,,,,,,,,,
8.29,SK 와이번스,9,0,0,6,4,0,0,인천,26,0,0,,,,,,,,,
9.2일,SK 와이번스,9,1,0,5,0,0,0,인천,25.9,0,80,,,,,,,,,
9.5수,SK 와이번스,13,0,0,8,1,0,1,광주,24.9,0,56,,,,,,,,,
9.6목,SK 와이번스,1,0,2,7,1,1,0,광주,25.9,0,49,,,,,,,,,
9.7금,SK 와이번스,6,1,1,7,1,1,0,광주,26.1,0,67,,,,,,,,,
9.8토,SK 와이번스,17,0,3,10,0,0,1,인천,20.8,0,76,,,,,,,,,
9.9일,SK 와이번스,5,2,3,7,0,0,1,인천,22.6,0,80,,,,,,,,,
9.12수,SK 와이번스,10,0,2,10,1,0,1,서울,22,0,74,,,,,,,,,
9.15토,SK 와이번스,15,2,3,6,1,2,1,인천,23.7,0,59,,,,,,,,,
9.16일,SK 와이번스,6,2,1,5,1,0,0,인천,21.1,0,73,,,,,,,,,
9.18화,SK 와이번스,10,0,0,3,2,3,1,부산,22.5,0,68,,,,,,,,,
9.19수,SK 와이번스,9,1,1,4,0,0,1,부산,22.3,0,60,,,,,,,,,
9.22토,SK 와이번스,7,1,0,3,2,1,1,서울,23.6,0,36,,,,,,,,,
9.23일,SK 와이번스,6,0,1,7,1,0,1,서울,24.6,0,38,,,,,,,,,
9.24월,SK 와이번스,9,1,1,8,1,2,0,인천,23.9,0,70,,,,,,,,,
9.25화,SK 와이번스,13,1,1,6,1,0,1,인천,23.7,0,67,,,,,,,,,
9.26수,SK 와이번스,11,0,1,4,1,0,1,서울,23.4,0,52,,,,,,,,,
9.27목,SK 와이번스,7,0,0,6,0,0,1,인천,21.4,0,70,,,,,,,,,
9.28금,SK 와이번스,2,0,1,6,0,1,0,광주,21.6,0,65,,,,,,,,,
9.29토,SK 와이번스,12,2,0,2,1,1,1,광주,18.4,0,56,,,,,,,,,
10.1월,SK 와이번스,6,3,0,9,0,1,1,대전,20.1,0,60,,,,,,,,,
10.2화,SK 와이번스,11,0,2,8,1,1,0,대전,21,0,60,,,,,,,,,
10.3수,SK 와이번스,6,1,1,2,0,0,0,서울,22.6,0,45,,,,,,,,,
10.4목,SK 와이번스,5,1,2,7,0,0,0,대구,23.1,0,29,,,,,,,,,
10.5금,SK 와이번스,10,1,3,10,1,1,0,인천,20.1,0,73,,,,,,,,,
10.6토,SK 와이번스,9,0,2,4,1,0,1,인천,20.8,0,62,,,,,,,,,
10.16화,SK 와이번스,6,1,2,8,0,0,1,인천,18.4,0,59,,,,,,,,,
10.17수,SK 와이번스,10,1,4,7,0,1,0,인천,12.5,0,46,,,,,,,,,
10.19금,SK 와이번스,5,0,0,7,0,1,0,부산,17.1,0,45,,,,,,,,,
10.20토,SK 와이번스,8,0,3,8,0,0,1,부산,18.4,0,47,,,,,,,,,
10.22월,SK 와이번스,8,0,1,6,1,2,1,인천,12.1,0,70,,,,,,,,,
10.24수,SK 와이번스,5,0,1,6,0,0,0,대구,15.9,0,48,,,,,,,,,
10.25목,SK 와이번스,5,1,0,9,1,1,0,대구,18.7,0,42,,,,,,,,,
10.28일,SK 와이번스,17,3,2,7,0,1,1,인천,14.1,0,78,,,,,,,,,
10.29월,SK 와이번스,8,2,0,10,0,0,1,인천,12,0,61,,,,,,,,,
4.2화,SK 와이번스,4,1,0,6,1,0,0,인천,7.7,0,81,,,,,,,,,
4.3수,SK 와이번스,8,0,0,4,0,2,1,인천,8.3,0,73,,,,,,,,,
4.4목,SK 와이번스,11,0,2,6,2,1,1,인천,15.7,0,44,,,,,,,,,
4.9화,SK 와이번스,7,1,0,8,0,0,1,서울,7.2,0,50,,,,,,,,,
4.10수,SK 와이번스,9,2,1,3,0,0,1,서울,7,0,36,,,,,,,,,
4.11목,SK 와이번스,7,0,0,9,0,3,0,서울,7.5,0,33,,,,,,,,,
4.12금,SK 와이번스,10,1,1,6,1,1,1,인천,7.6,0,61,,,,,,,,,
4.13토,SK 와이번스,2,0,0,4,0,1,0,인천,12.8,0,47,,,,,,,,,
4.14일,SK 와이번스,8,1,0,7,0,0,0,인천,7.7,0,34,,,,,,,,,
4.16화,SK 와이번스,12,1,4,10,0,0,1,인천,10.1,0,99,,,,,,,,,
4.17수,SK 와이번스,10,0,2,11,0,2,0,인천,16.1,0,73,,,,,,,,,
4.18목,SK 와이번스,12,2,0,8,0,0,1,인천,12.6,0,36,,,,,,,,,
4.19금,SK 와이번스,9,0,1,14,1,0,0,광주,14.1,0,37,,,,,,,,,
4.21일,SK 와이번스,4,0,0,5,1,0,0,광주,13.5,0,24,,,,,,,,,
4.24수,SK 와이번스,13,3,2,6,1,0,0,인천,10.4,0,84,,,,,,,,,
4.25목,SK 와이번스,5,0,0,12,1,2,0,인천,7.6,0,99,,,,,,,,,
4.26금,SK 와이번스,5,1,3,6,0,0,1,대전,16.3,0,29,,,,,,,,,
4.27토,SK 와이번스,9,1,0,9,0,2,1,대전,11.4,0,68,,,,,,,,,
5.3금,SK 와이번스,4,0,0,7,0,1,0,대전,16,0,50,,,,,,,,,
5.4토,SK 와이번스,7,1,1,11,1,0,1,대전,19.3,0,51,,,,,,,,,
5.5일,SK 와이번스,15,2,4,2,0,1,1,대전,21.5,0,35,,,,,,,,,
5.7화,SK 와이번스,14,2,1,5,1,0,1,인천,19.3,0,47,,,,,,,,,
5.8수,SK 와이번스,15,3,2,7,2,2,1,인천,20.4,0,47,,,,,,,,,
5.9목,SK 와이번스,7,0,1,6,1,0,0,인천,17.6,0,73,,,,,,,,,
5.10금,SK 와이번스,12,0,2,5,2,1,1,서울,13.9,0,83,,,,,,,,,
5.11토,SK 와이번스,4,0,2,4,1,0,0,서울,23.9,0,25,,,,,,,,,
5.12일,SK 와이번스,10,0,1,8,0,2,0,서울,21.5,0,58,,,,,,,,,
5.14화,SK 와이번스,5,1,2,11,0,0,0,광주,24.4,0,40,,,,,,,,,
5.15수,SK 와이번스,9,0,0,9,1,1,1,광주,23.7,0,54,,,,,,,,,
5.16목,SK 와이번스,19,3,2,10,1,0,1,광주,24.9,0,47,,,,,,,,,
5.17금,SK 와이번스,11,0,2,5,0,1,1,인천,20.5,0,51,,,,,,,,,
5.18토,SK 와이번스,5,3,0,7,0,2,0,인천,15.5,0.2,90,,,,,,,,,
5.19일,SK 와이번스,12,0,0,9,0,2,0,인천,17.7,0,85,,,,,,,,,
5.21화,SK 와이번스,6,0,2,3,0,0,1,인천,20.5,0,25,,,,,,,,,
5.22수,SK 와이번스,10,0,0,3,1,0,0,인천,20,0,73,,,,,,,,,
5.23목,SK 와이번스,7,1,0,10,1,0,0,인천,21.8,0,74,,,,,,,,,
5.24금,SK 와이번스,10,1,3,8,0,0,0,서울,25.5,0,41,,,,,,,,,
5.25토,SK 와이번스,6,1,2,8,0,0,1,서울,28.7,0,37,,,,,,,,,
5.26일,SK 와이번스,8,0,1,14,1,1,0,서울,24.7,0,45,,,,,,,,,
5.30목,SK 와이번스,6,1,0,7,2,0,0,인천,19,0,65,,,,,,,,,
6.4화,SK 와이번스,7,1,0,6,0,1,1,창원,23.9,0,43,,,,,,,,,
6.5수,SK 와이번스,10,1,0,7,1,0,0,창원,23.3,0,63,,,,,,,,,
6.6목,SK 와이번스,13,1,0,7,0,1,0,창원,22.4,0,64,,,,,,,,,
6.7금,SK 와이번스,14,4,0,5,1,2,1,인천,25.2,0,62,,,,,,,,,
6.8토,SK 와이번스,10,0,0,6,0,0,1,인천,26.4,0,67,,,,,,,,,
6.9일,SK 와이번스,12,1,2,15,1,0,0,인천,28.6,0,51,,,,,,,,,
6.11화,SK 와이번스,13,1,0,5,1,1,1,서울,24.1,0.3,67,,,,,,,,,
6.12수,SK 와이번스,5,0,0,7,1,0,0,서울,22.2,0,75,,,,,,,,,
6.13목,SK 와이번스,6,0,0,6,0,2,0,서울,25.4,0,63,,,,,,,,,
6.15토,SK 와이번스,5,2,5,3,1,0,0,광주,27.9,0,60,,,,,,,,,
6.16일,SK 와이번스,13,2,2,9,1,1,0,광주,27.7,0,57,,,,,,,,,
6.19수,SK 와이번스,7,0,3,7,0,0,1,인천,24.6,0,78,,,,,,,,,
6.20목,SK 와이번스,4,2,0,6,3,1,0,인천,25.2,0,72,,,,,,,,,
6.21금,SK 와이번스,10,0,0,4,0,0,1,인천,26.7,0,74,,,,,,,,,
6.22토,SK 와이번스,7,0,1,8,1,1,0,인천,22.8,0,85,,,,,,,,,
6.23일,SK 와이번스,13,2,1,2,1,0,1,인천,22.2,0,88,,,,,,,,,
6.25화,SK 와이번스,8,0,3,7,1,1,1,서울,25.9,0,60,,,,,,,,,
6.26수,SK 와이번스,7,0,3,8,0,1,0,서울,27.4,0,52,,,,,,,,,
6.27목,SK 와이번스,12,2,2,6,1,0,1,서울,27.6,0,57,,,,,,,,,
6.28금,SK 와이번스,10,0,0,9,0,1,1,서울,28.7,0,41,,,,,,,,,
6.29토,SK 와이번스,7,0,0,4,3,0,0,서울,31.3,0,45,,,,,,,,,
6.30일,SK 와이번스,6,0,1,7,1,1,0,서울,31.5,0,43,,,,,,,,,
7.2화,SK 와이번스,7,0,0,3,2,0,0,인천,23.9,0,95,,,,,,,,,
7.3수,SK 와이번스,10,0,3,9,0,2,1,인천,24.2,0,92,,,,,,,,,
7.6토,SK 와이번스,6,0,1,8,0,0,0,대전,29.4,0,68,,,,,,,,,
7.9화,SK 와이번스,12,1,5,10,1,0,1,대구,32.2,0,52,,,,,,,,,
7.10수,SK 와이번스,7,2,0,11,2,2,0,대구,33.7,0,46,,,,,,,,,
7.11목,SK 와이번스,10,2,3,3,1,0,1,대구,33.8,0,45,,,,,,,,,
7.13토,SK 와이번스,7,1,2,6,1,1,0,인천,23.9,0,99,,,,,,,,,
7.16화,SK 와이번스,13,1,0,8,0,0,1,인천,25.8,0,88,,,,,,,,,
7.17수,SK 와이번스,12,2,0,5,1,1,1,인천,23.6,0,99,,,,,,,,,
7.26금,SK 와이번스,14,1,0,4,3,0,1,부산,27.9,0,64,,,,,,,,,
7.27토,SK 와이번스,7,1,2,1,1,1,0,부산,26.2,0,63,,,,,,,,,
7.28일,SK 와이번스,11,0,2,6,0,0,1,부산,26.4,0,85,,,,,,,,,
7.30화,SK 와이번스,5,0,1,4,0,1,0,인천,25.5,0,92,,,,,,,,,
7.31수,SK 와이번스,2,0,0,12,0,1,0,인천,25.2,0,95,,,,,,,,,
8.1목,SK 와이번스,8,3,1,8,1,0,0,인천,30,0,70,,,,,,,,,
8.2금,SK 와이번스,11,1,0,10,0,1,0,인천,29.1,0,87,,,,,,,,,
8.3토,SK 와이번스,11,2,0,6,1,1,1,인천,29.4,0,87,,,,,,,,,
8.4일,SK 와이번스,6,0,2,5,2,0,0,인천,28.3,0,97,,,,,,,,,
8.7수,SK 와이번스,7,2,0,10,0,0,1,대전,33.5,0,64,,,,,,,,,
8.8목,SK 와이번스,7,0,1,5,1,0,1,서울,31.8,0,64,,,,,,,,,
8.10토,SK 와이번스,10,1,1,4,2,0,1,인천,27.8,0,89,,,,,,,,,
8.11일,SK 와이번스,6,3,0,9,0,0,1,인천,29.8,0,93,,,,,,,,,
8.13화,SK 와이번스,13,2,3,5,2,0,1,인천,29.6,0,85,,,,,,,,,
8.14수,SK 와이번스,11,1,0,5,0,0,1,인천,29.8,0,83,,,,,,,,,
8.17토,SK 와이번스,3,0,1,8,1,1,0,서울,29.8,0,64,,,,,,,,,
8.18일,SK 와이번스,10,1,0,4,1,0,1,서울,29.1,0,66,,,,,,,,,
8.20화,SK 와이번스,9,1,1,8,2,0,1,대구,30.6,0,57,,,,,,,,,
8.21수,SK 와이번스,12,1,0,5,1,0,0,대구,31.3,0,60,,,,,,,,,
8.22목,SK 와이번스,9,3,3,6,0,0,1,인천,29.8,0,67,,,,,,,,,
8.23금,SK 와이번스,10,2,2,13,1,1,0,인천,25.7,0,97,,,,,,,,,
8.25일,SK 와이번스,8,0,2,7,0,1,1,창원,26.8,0,64,,,,,,,,,
8.27화,SK 와이번스,11,1,0,3,2,0,1,인천,26.8,0,76,,,,,,,,,
8.28수,SK 와이번스,10,1,3,11,0,1,1,인천,27.3,0,85,,,,,,,,,
8.29목,SK 와이번스,8,0,0,11,1,0,1,인천,26,0,98,,,,,,,,,
8.30금,SK 와이번스,4,0,1,7,0,2,0,인천,24.7,0,80,,,,,,,,,
9.3화,SK 와이번스,8,0,0,5,0,0,1,서울,25.5,0,29,,,,,,,,,
9.4수,SK 와이번스,4,0,0,5,0,1,0,서울,26,0,35,,,,,,,,,
9.5목,SK 와이번스,15,1,3,7,1,0,1,부산,23.2,0,57,,,,,,,,,
9.7토,SK 와이번스,6,2,0,10,0,0,1,인천,23.7,0,77,,,,,,,,,
9.8일,SK 와이번스,14,3,1,6,1,1,1,인천,24,0,77,,,,,,,,,
9.10화,SK 와이번스,10,1,1,12,0,0,1,광주,26.1,0,55,,,,,,,,,
9.11수,SK 와이번스,4,0,1,7,1,0,0,광주,25.3,0,74,,,,,,,,,
9.12목,SK 와이번스,9,1,1,9,2,2,0,인천,23.8,0,86,,,,,,,,,
9.13금,SK 와이번스,11,1,1,3,0,0,1,인천,24.1,0,99,,,,,,,,,
9.14토,SK 와이번스,10,0,1,12,1,0,0,인천,24.1,0,86,,,,,,,,,
9.15일,SK 와이번스,11,2,1,8,1,1,0,인천,25.8,0,56,,,,,,,,,
9.17화,SK 와이번스,9,2,0,7,1,0,0,인천,25,0,81,,,,,,,,,
9.18수,SK 와이번스,7,2,0,7,2,0,0,인천,26.7,0,69,,,,,,,,,
9.19목,SK 와이번스,10,1,3,5,2,1,1,인천,24.8,0,78,,,,,,,,,
9.20금,SK 와이번스,10,1,4,10,1,1,0,대전,25.7,0,72,,,,,,,,,
9.21토,SK 와이번스,14,2,1,4,2,1,1,대전,25.9,0,67,,,,,,,,,
9.22일,SK 와이번스,7,0,3,7,0,2,1,대전,22.8,0,68,,,,,,,,,
9.24화,SK 와이번스,9,3,1,6,1,0,0,인천,21.5,0,98,,,,,,,,,
9.25수,SK 와이번스,5,1,1,10,1,0,0,인천,20.3,0,49,,,,,,,,,
9.26목,SK 와이번스,9,3,1,4,1,1,1,인천,20,0,50,,,,,,,,,
9.28토,SK 와이번스,11,1,1,10,1,2,0,인천,18.7,0,82,,,,,,,,,
9.30월,SK 와이번스,7,0,0,8,1,3,0,부산,23.2,0,70,,,,,,,,,
10.2수,SK 와이번스,15,1,3,12,0,0,1,광주,18.4,0,62,,,,,,,,,
10.3목,SK 와이번스,14,2,4,9,1,1,1,인천,18.3,0,68,,,,,,,,,
10.4금,SK 와이번스,6,0,0,7,1,2,0,부산,21.1,0,50,,,,,,,,,
10.5토,SK 와이번스,7,2,0,4,1,0,0,창원,23.9,0,55,,,,,,,,,
4.1화,SK 와이번스,15,0,3,7,0,2,1,서울,19.2,0,25,,,,,,,,,
4.2수,SK 와이번스,8,0,0,7,0,3,0,서울,18.7,0,21,,,,,,,,,
4.3목,SK 와이번스,10,2,2,5,0,1,1,서울,10.1,0,61,,,,,,,,,
