day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,한화이글스,,,
4.7,한화 이글스,11,0,2,6,2,2,0,부산,10.7,0,41,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.8,한화 이글스,8,0,0,5,0,1,0,부산,10.7,0,41,,,5-15,8.253731343,0.671641791,0.552238806,7.507462687,1.044776119,0.895522388
4.11,한화 이글스,7,0,0,9,1,0,0,대전,16.4,0,64,,,15-25,8.988864143,0.750556793,0.614699332,7.416481069,0.79064588,0.739420935
4.12,한화 이글스,17,0,1,8,3,1,1,대전,13.9,0,29,,,25-35,9.590339893,0.844364937,0.610017889,6.980322004,0.871198569,0.66726297
4.13,한화 이글스,2,0,0,10,0,1,0,인천,9.5,0,69,,,35-45,10,0.8,0.4,7,0.8,0.4
4.14,한화 이글스,5,0,1,6,1,0,0,인천,11,0,77,,,총합계,9.259259259,0.794444444,0.607407407,7.194444444,0.848148148,0.710185185
4.15,한화 이글스,9,1,1,8,2,0,0,인천,13.8,0,52,,,,,,,,,
4.17,한화 이글스,11,1,2,6,2,1,1,대전,20.4,0,18,,,,,,,,,
4.18,한화 이글스,6,0,1,5,0,2,0,대전,22.3,0,23,,,,,,,,,
4.19,한화 이글스,8,1,0,3,1,0,0,대전,17.6,0,34,,,,,,,,,
4.2,한화 이글스,9,1,1,5,1,1,0,대전,19.5,0,45,,,,,,,,,
4.22,한화 이글스,10,2,1,6,3,0,0,대전,10.6,0,78,,,,,,,,,
4.24,한화 이글스,18,1,0,8,0,2,1,광주,23.6,0,46,,,,,,,,,
4.26,한화 이글스,13,0,0,3,1,0,1,광주,16.1,0,28,,,,,,,,,
4.27,한화 이글스,9,0,1,5,2,2,0,대전,21.8,0,22,,,,,,,,,
4.28,한화 이글스,6,0,0,9,0,0,0,대전,24.7,0,20,,,,,,,,,
4.29,한화 이글스,12,2,0,2,0,0,1,대전,20.2,0,42,,,,,,,,,
5.1,한화 이글스,9,0,0,3,2,0,0,서울,26.6,0,31,,,,,,,,,
5.2,한화 이글스,8,1,1,4,4,3,0,서울,25.5,0,43,,,,,,,,,
5.3,한화 이글스,6,0,0,3,1,0,1,서울,23.3,0,39,,,,,,,,,
5.4,한화 이글스,11,0,1,7,0,0,1,대구,28,0,24,,,,,,,,,
5.5,한화 이글스,7,0,0,6,0,0,0,대구,27.5,0,16,,,,,,,,,
5.6,한화 이글스,14,0,3,5,0,0,1,대구,24.9,0,15,,,,,,,,,
5.8,한화 이글스,8,1,1,1,2,0,1,대전,25.9,0,41,,,,,,,,,
5.9,한화 이글스,8,1,0,8,2,1,0,대전,26.1,0,26,,,,,,,,,
5.1,한화 이글스,5,0,0,8,1,1,0,대전,22.7,0,50,,,,,,,,,
5.11,한화 이글스,18,2,1,5,0,1,1,대전,18.3,0,56,,,,,,,,,
5.12,한화 이글스,8,0,0,5,0,0,0,대전,21.7,0,45,,,,,,,,,
5.13,한화 이글스,6,1,1,6,0,0,1,대전,22.7,0,38,,,,,,,,,
5.15,한화 이글스,7,0,1,3,1,4,0,서울,18.3,0,54,,,,,,,,,
5.16,한화 이글스,9,0,0,6,0,3,1,서울,18.2,0,63,,,,,,,,,
5.17,한화 이글스,13,0,2,8,1,1,1,서울,19.9,0,34,,,,,,,,,
5.18,한화 이글스,10,0,0,6,2,0,0,대전,24.2,0,32,,,,,,,,,
5.19,한화 이글스,9,1,1,9,0,0,0,대전,23.5,0,31,,,,,,,,,
5.2,한화 이글스,10,3,1,10,0,0,0,대전,27.2,0,29,,,,,,,,,
5.22,한화 이글스,12,0,1,5,0,2,0,광주,25.2,0,41,,,,,,,,,
5.23,한화 이글스,5,0,0,7,1,3,0,광주,26.4,0,33,,,,,,,,,
5.24,한화 이글스,5,2,0,9,1,0,0,광주,21.8,0,55,,,,,,,,,
5.25,한화 이글스,6,1,2,10,0,0,1,서울,23.9,0,36,,,,,,,,,
5.26,한화 이글스,8,1,0,6,0,1,1,서울,22.8,0,40,,,,,,,,,
5.27,한화 이글스,9,0,3,9,1,0,1,서울,21.1,0,57,,,,,,,,,
5.29,한화 이글스,6,1,0,13,0,0,0,대전,27.4,0,18,,,,,,,,,
5.3,한화 이글스,2,0,0,8,2,1,0,대전,20.2,0,69,,,,,,,,,
5.31,한화 이글스,11,0,0,5,2,1,0,대전,26.2,0,42,,,,,,,,,
6.1,한화 이글스,14,0,3,4,2,0,1,서울,24.9,0,28,,,,,,,,,
6.2,한화 이글스,11,2,1,4,1,1,0,서울,25.5,0,41,,,,,,,,,
6.5,한화 이글스,10,1,0,6,0,0,1,대전,28.7,0,48,,,,,,,,,
6.6,한화 이글스,5,0,1,5,0,0,1,대전,25.9,0,59,,,,,,,,,
6.7,한화 이글스,11,1,1,7,1,0,0,대전,28.1,0,42,,,,,,,,,
6.9,한화 이글스,6,1,0,7,1,1,0,대전,27.9,0,53,,,,,,,,,
6.1,한화 이글스,8,2,0,7,0,0,1,대전,29.1,0,50,,,,,,,,,
6.12,한화 이글스,9,0,0,5,0,1,0,대구,25.1,0,52,,,,,,,,,
6.13,한화 이글스,5,0,1,7,2,0,0,대구,23.7,0,54,,,,,,,,,
6.14,한화 이글스,8,0,0,10,1,0,0,대구,22.5,0,57,,,,,,,,,
6.15,한화 이글스,7,0,0,5,0,0,0,인천,25.6,0,60,,,,,,,,,
6.16,한화 이글스,7,0,0,6,0,0,0,인천,23.1,0,83,,,,,,,,,
6.17,한화 이글스,9,1,0,5,1,0,1,인천,24.2,0,68,,,,,,,,,
6.19,한화 이글스,5,1,0,4,0,1,1,대전,29.6,0,51,,,,,,,,,
6.2,한화 이글스,12,0,1,4,0,0,1,대전,28.1,0,44,,,,,,,,,
6.21,한화 이글스,11,0,2,4,2,3,0,대전,31.2,0,39,,,,,,,,,
6.22,한화 이글스,11,0,1,2,0,0,1,대전,29.7,0,44,,,,,,,,,
6.23,한화 이글스,8,0,1,7,0,0,1,대전,28.4,0,60,,,,,,,,,
6.24,한화 이글스,9,2,0,6,4,0,0,대전,27.1,0,60,,,,,,,,,
6.26,한화 이글스,4,0,0,12,1,1,0,부산,20.2,0,73,,,,,,,,,
6.27,한화 이글스,7,0,0,7,0,0,0,부산,19.8,0,76,,,,,,,,,
6.28,한화 이글스,6,1,0,6,2,1,0,부산,24.5,0,66,,,,,,,,,
6.29,한화 이글스,5,1,1,7,1,0,0,대전,29.3,0,55,,,,,,,,,
7.1일,한화 이글스,7,0,0,6,2,2,0,대전,27.3,0,62,,,,,,,,,
7.3화,한화 이글스,4,0,1,14,0,0,0,서울,21,16.5,92,,,,,,,,,
7.4수,한화 이글스,8,3,0,12,1,2,0,서울,24.9,0,76,,,,,,,,,
7.7토,한화 이글스,7,1,0,2,1,0,1,대전,28.6,0,56,,,,,,,,,
7.8일,한화 이글스,8,3,0,4,3,0,1,대전,30.2,0,65,,,,,,,,,
7.10화,한화 이글스,8,1,0,8,1,0,0,서울,28,0,49,,,,,,,,,
7.11수,한화 이글스,10,3,0,5,1,0,1,서울,24.2,0,80,,,,,,,,,
7.12목,한화 이글스,4,0,0,6,0,0,0,서울,27.3,0,62,,,,,,,,,
7.18수,한화 이글스,12,0,1,9,1,0,0,대전,28.8,0,78,,,,,,,,,
7.19목,한화 이글스,14,1,1,8,1,1,0,대전,26.9,0,82,,,,,,,,,
7.24화,한화 이글스,10,0,1,8,0,0,1,대전,32.6,0,62,,,,,,,,,
7.25수,한화 이글스,14,1,0,4,1,0,1,대전,31.9,0,68,,,,,,,,,
7.26목,한화 이글스,8,1,3,10,0,0,0,대전,31.7,0,65,,,,,,,,,
7.27금,한화 이글스,9,0,1,7,1,0,1,광주,31.8,0,63,,,,,,,,,
7.28토,한화 이글스,10,2,0,6,1,1,1,광주,33.4,0,53,,,,,,,,,
7.29일,한화 이글스,11,1,3,9,0,0,1,광주,32.5,0,58,,,,,,,,,
7.31화,한화 이글스,11,0,0,2,1,1,0,서울,30.4,0,59,,,,,,,,,
8.1,한화 이글스,12,1,1,6,1,0,1,서울,34.4,0,0,,,,,,,,,
8.2,한화 이글스,12,0,1,5,0,0,1,서울,34.6,0,0,,,,,,,,,
8.3,한화 이글스,11,1,0,8,0,2,1,대전,33.7,0,0,,,,,,,,,
8.4,한화 이글스,6,0,0,10,0,0,0,대전,34.1,0,0,,,,,,,,,
8.5,한화 이글스,7,0,1,11,0,0,0,대전,35.6,0,0,,,,,,,,,
8.7,한화 이글스,8,1,1,10,0,0,0,대전,33.5,0,0,,,,,,,,,
8.8,한화 이글스,6,0,2,7,1,0,0,대전,31.7,0,0,,,,,,,,,
8.9,한화 이글스,4,1,0,10,0,0,0,대전,29.4,0,0,,,,,,,,,
8.1,한화 이글스,5,0,0,11,1,0,1,서울,28.3,0,0,,,,,,,,,
8.11,한화 이글스,3,0,1,4,0,0,0,서울,30.1,0,0,,,,,,,,,
8.14,한화 이글스,6,1,0,14,0,0,0,대구,26.6,0,0,,,,,,,,,
8.15,한화 이글스,8,0,1,9,1,0,1,대구,31.8,0,0,,,,,,,,,
8.17,한화 이글스,5,0,1,10,1,0,0,대전,32.3,0,0,,,,,,,,,
8.18,한화 이글스,4,0,0,3,0,2,0,대전,29.7,0,0,,,,,,,,,
8.19,한화 이글스,7,0,2,4,0,1,1,대전,30.5,0,0,,,,,,,,,
8.22,한화 이글스,11,0,1,8,0,0,0,인천,23.1,0,0,,,,,,,,,
8.23,한화 이글스,7,1,0,4,1,2,0,인천,26,0,0,,,,,,,,,
8.25,한화 이글스,6,0,0,5,0,3,0,대전,29.4,0,0,,,,,,,,,
8.26,한화 이글스,5,0,0,3,2,0,0,대전,30.9,0,0,,,,,,,,,
8.29,한화 이글스,12,0,3,6,2,1,1,대전,28.2,0,0,,,,,,,,,
8.31,한화 이글스,8,0,1,3,1,0,1,광주,26.9,0,0,,,,,,,,,
9.1토,한화 이글스,5,0,0,11,0,0,1,광주,26.8,0,68,,,,,,,,,
9.2일,한화 이글스,4,0,0,10,0,0,0,대전,26.8,0,77,,,,,,,,,
9.5수,한화 이글스,6,0,2,9,0,0,1,대전,24.5,0,63,,,,,,,,,
9.6목,한화 이글스,5,1,2,8,0,0,1,대전,24,0,54,,,,,,,,,
9.7금,한화 이글스,8,0,1,9,1,1,0,부산,25.6,0,66,,,,,,,,,
9.8토,한화 이글스,5,0,1,10,0,0,0,부산,25.1,0,82,,,,,,,,,
9.10월,한화 이글스,4,0,0,7,0,0,0,부산,21.8,0,73,,,,,,,,,
9.11화,한화 이글스,11,3,1,6,0,0,1,대전,24.8,0,56,,,,,,,,,
9.12수,한화 이글스,12,0,4,7,0,0,1,대전,24.1,0,80,,,,,,,,,
9.14금,한화 이글스,9,0,5,9,1,0,1,서울,20.2,0,56,,,,,,,,,
9.15토,한화 이글스,4,1,3,11,0,0,0,서울,23.9,0,53,,,,,,,,,
9.16일,한화 이글스,13,0,2,4,2,0,1,서울,21.6,0,58,,,,,,,,,
9.18화,한화 이글스,9,0,0,6,2,1,0,대구,24.9,0,48,,,,,,,,,
9.19수,한화 이글스,10,1,4,3,1,0,1,대전,22.2,0,63,,,,,,,,,
9.20목,한화 이글스,10,0,2,9,1,1,1,서울,22.5,0,58,,,,,,,,,
9.21금,한화 이글스,3,1,2,8,1,0,1,대전,22.2,0,61,,,,,,,,,
9.24월,한화 이글스,3,1,0,6,1,0,0,서울,25.3,0,26,,,,,,,,,
9.25화,한화 이글스,8,0,0,6,1,0,1,서울,25.5,0,34,,,,,,,,,
9.26수,한화 이글스,3,0,0,9,2,1,0,서울,23.4,0,52,,,,,,,,,
9.27목,한화 이글스,3,0,0,10,0,0,0,인천,21.4,0,70,,,,,,,,,
9.28금,한화 이글스,3,0,0,5,0,3,0,대전,19.2,0.1,79,,,,,,,,,
9.29토,한화 이글스,3,0,1,10,0,1,0,대전,17.5,0,60,,,,,,,,,
10.1월,한화 이글스,8,0,1,10,0,1,0,대전,20.1,0,60,,,,,,,,,
10.2화,한화 이글스,10,1,1,6,0,0,1,대전,21,0,60,,,,,,,,,
10.3수,한화 이글스,10,0,3,7,0,2,0,대전,20.8,0,59,,,,,,,,,
4.2화,한화 이글스,11,0,1,8,1,2,0,광주,5.4,0,75,,,,,,,,,
4.3수,한화 이글스,5,0,0,3,3,0,0,광주,14.2,0,28,,,,,,,,,
4.4목,한화 이글스,10,0,0,10,1,1,0,광주,22.7,0,12,,,,,,,,,
4.5금,한화 이글스,10,0,0,7,0,0,0,서울,17.6,0,33,,,,,,,,,
4.7일,한화 이글스,3,0,0,10,2,1,0,서울,8.1,0,44,,,,,,,,,
4.9화,한화 이글스,8,1,0,8,2,0,0,대전,8.5,0,34,,,,,,,,,
4.10수,한화 이글스,6,0,1,10,0,0,0,대전,8.9,0,33,,,,,,,,,
4.11목,한화 이글스,8,0,1,12,0,1,0,대전,9.8,0,28,,,,,,,,,
4.12금,한화 이글스,5,0,0,5,2,0,0,서울,9.5,0,29,,,,,,,,,
4.13토,한화 이글스,9,0,1,7,1,1,0,서울,16.1,0,22,,,,,,,,,
4.14일,한화 이글스,5,0,0,7,2,1,0,서울,8.4,0,16,,,,,,,,,
4.16화,한화 이글스,10,1,1,2,2,1,1,창원,18.6,0,73,,,,,,,,,
4.17수,한화 이글스,9,0,0,8,1,1,1,창원,13.7,0,68,,,,,,,,,
4.18목,한화 이글스,8,2,0,6,0,0,1,창원,17.5,0,61,,,,,,,,,
4.19금,한화 이글스,9,0,0,10,1,1,0,대전,16.3,0,27,,,,,,,,,
4.21일,한화 이글스,6,0,1,4,2,0,1,대전,13.9,0,28,,,,,,,,,
4.26금,한화 이글스,3,0,2,10,0,0,0,대전,16.3,0,29,,,,,,,,,
4.27토,한화 이글스,7,0,0,6,1,0,0,대전,11.4,0,68,,,,,,,,,
4.30화,한화 이글스,15,0,0,2,1,1,1,부산,17.7,0,26,,,,,,,,,
5.1수,한화 이글스,6,0,3,9,1,1,0,대전,17.3,0,47,,,,,,,,,
5.2목,한화 이글스,7,1,0,5,1,0,0,대전,17.9,0,43,,,,,,,,,
5.3금,한화 이글스,9,0,1,3,3,1,1,대전,16,0,50,,,,,,,,,
5.4토,한화 이글스,3,0,0,4,3,1,0,대전,19.3,0,51,,,,,,,,,
5.5일,한화 이글스,14,1,0,3,3,2,0,대전,21.5,0,35,,,,,,,,,
5.7화,한화 이글스,8,0,2,8,0,0,1,창원,17.2,0,58,,,,,,,,,
5.8수,한화 이글스,11,1,1,12,0,0,1,창원,19.5,0,40,,,,,,,,,
5.9목,한화 이글스,7,0,0,9,0,1,0,창원,20.8,0,73,,,,,,,,,
5.14화,한화 이글스,10,0,0,6,2,1,1,서울,23,0,44,,,,,,,,,
5.15수,한화 이글스,5,0,0,7,1,1,0,서울,21.9,0,48,,,,,,,,,
5.16목,한화 이글스,8,0,1,4,3,0,0,서울,27.5,0,24,,,,,,,,,
5.17금,한화 이글스,9,0,0,9,0,1,1,대전,24.4,0,40,,,,,,,,,
5.18토,한화 이글스,16,0,1,6,1,0,1,대전,22.8,0,53,,,,,,,,,
5.19일,한화 이글스,9,0,0,10,1,0,0,대전,18.5,0,89,,,,,,,,,
5.21화,한화 이글스,10,0,1,10,0,0,0,광주,25.8,0,34,,,,,,,,,
5.22수,한화 이글스,10,0,1,5,1,1,1,광주,27.2,0,43,,,,,,,,,
5.23목,한화 이글스,7,0,2,7,1,1,0,광주,29,0,41,,,,,,,,,
5.24금,한화 이글스,4,0,3,11,0,0,0,대전,27.4,0,43,,,,,,,,,
5.25토,한화 이글스,7,0,0,8,2,0,0,대전,30,0,40,,,,,,,,,
5.26일,한화 이글스,8,0,0,8,0,0,1,대전,26,0,57,,,,,,,,,
5.28화,한화 이글스,11,2,0,9,1,0,1,서울,20.1,0,86,,,,,,,,,
5.29수,한화 이글스,8,1,0,5,1,2,0,서울,15.5,0,88,,,,,,,,,
5.30목,한화 이글스,10,0,0,7,1,1,0,서울,23.5,0,32,,,,,,,,,
5.31금,한화 이글스,8,0,0,7,0,1,0,대전,24.5,0,52,,,,,,,,,
6.1토,한화 이글스,4,0,0,2,0,1,0,대전,24.4,0,50,,,,,,,,,
6.2일,한화 이글스,9,1,1,4,1,1,1,대전,28.2,0,41,,,,,,,,,
6.7금,한화 이글스,8,1,0,5,1,1,0,인천,25.2,0,62,,,,,,,,,
6.8토,한화 이글스,10,0,1,10,2,1,0,인천,26.4,0,67,,,,,,,,,
6.9일,한화 이글스,13,1,1,9,0,0,1,인천,28.6,0,51,,,,,,,,,
6.11화,한화 이글스,13,0,1,9,1,1,0,대전,23.2,0,78,,,,,,,,,
6.13목,한화 이글스,14,0,0,8,1,1,0,대전,25.3,0,70,,,,,,,,,
6.14금,한화 이글스,8,1,0,10,0,1,0,부산,21.5,0,98,,,,,,,,,
6.15토,한화 이글스,7,0,0,7,0,1,1,부산,24.2,0,74,,,,,,,,,
6.16일,한화 이글스,12,1,0,5,2,0,0,부산,23.3,0,80,,,,,,,,,
6.19수,한화 이글스,7,0,0,7,3,1,0,대전,28.4,0,72,,,,,,,,,
6.20목,한화 이글스,8,1,1,5,1,0,0,대전,29.6,0,55,,,,,,,,,
6.21금,한화 이글스,9,1,1,12,0,0,0,서울,29.6,0,49,,,,,,,,,
6.22토,한화 이글스,8,1,1,11,0,1,0,서울,25.7,0,66,,,,,,,,,
6.23일,한화 이글스,8,2,1,10,2,0,0,서울,25,0,52,,,,,,,,,
6.26수,한화 이글스,4,1,1,4,1,0,1,대전,27.7,0,71,,,,,,,,,
6.28금,한화 이글스,11,1,1,9,2,0,1,대전,28.8,0,69,,,,,,,,,
6.29토,한화 이글스,10,0,2,8,1,2,0,대전,30.5,0,60,,,,,,,,,
6.30일,한화 이글스,5,0,0,6,0,0,0,대전,31.1,0,56,,,,,,,,,
7.3수,한화 이글스,18,0,0,8,3,0,0,서울,28.4,0,54,,,,,,,,,
7.6토,한화 이글스,8,2,0,2,0,0,1,대전,29.4,0,68,,,,,,,,,
7.9화,한화 이글스,3,0,1,7,2,1,0,대전,29.7,0,75,,,,,,,,,
7.10수,한화 이글스,8,0,2,5,1,1,0,대전,31.2,0,74,,,,,,,,,
7.11목,한화 이글스,6,1,2,6,0,1,1,대전,29.7,0,73,,,,,,,,,
7.12금,한화 이글스,8,1,0,4,1,0,0,대구,31.2,0,53,,,,,,,,,
7.13토,한화 이글스,8,0,0,6,1,1,0,대구,29.9,0,69,,,,,,,,,
7.16화,한화 이글스,13,0,3,11,2,0,1,광주,29.7,0,50,,,,,,,,,
7.17수,한화 이글스,6,0,3,9,3,2,0,광주,28.2,0,67,,,,,,,,,
7.23화,한화 이글스,11,1,1,10,1,0,0,대전,27.3,0,95,,,,,,,,,
7.24수,한화 이글스,14,0,0,7,4,0,0,대전,28.4,0,77,,,,,,,,,
7.25목,한화 이글스,7,0,1,4,3,0,0,대전,29.3,0,71,,,,,,,,,
7.30화,한화 이글스,14,1,1,7,1,0,1,서울,26.8,0,70,,,,,,,,,
7.31수,한화 이글스,11,1,0,4,1,0,0,서울,26.8,0,72,,,,,,,,,
8.1목,한화 이글스,7,0,1,13,0,0,0,서울,31.5,0,57,,,,,,,,,
8.2금,한화 이글스,7,0,0,10,2,1,0,창원,27.5,0,81,,,,,,,,,
8.3토,한화 이글스,11,0,0,9,2,1,1,창원,28.7,0,76,,,,,,,,,
8.7수,한화 이글스,10,0,0,4,2,1,0,대전,33.5,0,64,,,,,,,,,
8.8목,한화 이글스,12,0,0,7,0,0,0,대구,36,0,43,,,,,,,,,
8.9금,한화 이글스,18,1,0,6,1,0,1,대구,35.9,0,46,,,,,,,,,
8.10토,한화 이글스,10,1,1,7,0,0,0,서울,29.1,0,72,,,,,,,,,
8.11일,한화 이글스,11,1,0,10,1,0,1,서울,32.2,0,55,,,,,,,,,
8.13화,한화 이글스,5,1,0,7,1,1,0,대전,32.5,0,59,,,,,,,,,
8.14수,한화 이글스,6,0,0,4,2,0,0,대전,32.2,0,59,,,,,,,,,
8.15목,한화 이글스,10,0,2,9,0,0,0,서울,31.2,0,61,,,,,,,,,
8.16금,한화 이글스,10,0,0,5,1,1,1,서울,30.7,0,61,,,,,,,,,
8.20화,한화 이글스,3,0,0,9,0,0,0,대전,31,0,45,,,,,,,,,
8.21수,한화 이글스,6,1,0,9,1,2,0,대전,31.4,0,73,,,,,,,,,
8.22목,한화 이글스,6,1,0,4,1,0,1,대전,29.9,0,82,,,,,,,,,
8.24토,한화 이글스,10,0,0,3,1,0,1,서울,30.2,0,30,,,,,,,,,
8.25일,한화 이글스,7,0,0,5,2,0,1,서울,30.7,0,29,,,,,,,,,
8.27화,한화 이글스,6,0,0,4,3,0,0,인천,26.8,0,76,,,,,,,,,
8.28수,한화 이글스,7,1,1,6,3,2,0,인천,27.3,0,85,,,,,,,,,
8.29목,한화 이글스,4,0,0,4,0,0,0,부산,28.9,0,68,,,,,,,,,
8.30금,한화 이글스,8,1,1,8,1,1,0,부산,26.1,0,72,,,,,,,,,
8.31토,한화 이글스,7,0,0,9,1,0,1,대전,27.3,0,61,,,,,,,,,
9.1일,한화 이글스,10,0,1,5,1,0,0,대전,26.4,0,64,,,,,,,,,
9.3화,한화 이글스,6,0,1,5,1,1,0,대전,23.5,0,59,,,,,,,,,
9.4수,한화 이글스,7,0,0,5,1,1,0,대전,24.7,0,54,,,,,,,,,
9.5목,한화 이글스,5,0,2,6,3,0,1,대전,22.6,0,73,,,,,,,,,
9.6금,한화 이글스,6,0,1,6,0,2,0,대전,18.7,0,93,,,,,,,,,
9.7토,한화 이글스,14,0,2,8,0,2,1,광주,25,0,63,,,,,,,,,
9.8일,한화 이글스,15,1,0,8,1,3,1,광주,26.3,0,49,,,,,,,,,
9.12목,한화 이글스,13,3,0,9,0,1,1,창원,25.7,0,68,,,,,,,,,
9.13금,한화 이글스,4,0,0,10,2,0,0,창원,28.3,0,69,,,,,,,,,
9.14토,한화 이글스,7,0,0,9,0,0,1,대전,23.7,0,86,,,,,,,,,
9.15일,한화 이글스,7,0,0,7,1,1,0,대전,24.8,0,77,,,,,,,,,
9.16월,한화 이글스,14,0,1,8,1,0,1,대전,23.7,0,46,,,,,,,,,
9.17화,한화 이글스,7,0,1,7,1,0,0,대전,25.2,0,57,,,,,,,,,
9.18수,한화 이글스,8,0,0,6,3,0,0,서울,29,0,43,,,,,,,,,
9.20금,한화 이글스,12,0,0,8,1,0,1,대전,25.7,0,72,,,,,,,,,
9.21토,한화 이글스,6,1,0,7,1,0,0,대전,25.9,0,67,,,,,,,,,
9.22일,한화 이글스,6,0,1,10,0,1,0,대전,22.8,0,68,,,,,,,,,
9.23월,한화 이글스,3,0,0,8,2,2,0,대구,26,0,45,,,,,,,,,
9.25수,한화 이글스,14,1,1,5,0,0,1,대전,20.7,0,70,,,,,,,,,
9.27금,한화 이글스,6,1,0,14,0,0,0,창원,21.9,0,51,,,,,,,,,
9.28토,한화 이글스,4,0,0,15,0,1,0,부산,23.2,0,60,,,,,,,,,
9.29일,한화 이글스,15,0,0,6,0,2,1,광주,22,0,92,,,,,,,,,
9.30월,한화 이글스,8,1,0,10,1,0,0,대전,23,0,86,,,,,,,,,
10.1화,한화 이글스,4,1,0,12,0,1,0,대전,24.3,0,74,,,,,,,,,
10.2수,한화 이글스,18,1,1,5,2,0,1,서울,20.3,0,36,,,,,,,,,
10.3목,한화 이글스,6,0,0,10,3,1,0,서울,18.5,0,51,,,,,,,,,
10.5토,한화 이글스,10,0,0,2,1,0,1,대전,21.6,0,70,,,,,,,,,
4.1화,한화 이글스,9,1,1,7,1,0,0,대전,21.4,0,25,,,,,,,,,
4.2수,한화 이글스,14,3,0,6,2,0,1,대전,22.1,0,29,,,,,,,,,
4.4금,한화 이글스,7,1,0,8,0,4,0,인천,7.3,0,56,,,,,,,,,
4.5토,한화 이글스,5,0,0,5,1,1,0,인천,6.7,0,69,,,,,,,,,
4.6일,한화 이글스,3,0,0,3,2,4,0,인천,8.3,0,71,,,,,,,,,
4.8화,한화 이글스,11,1,0,3,1,0,1,창원,16.7,0,20,,,,,,,,,
4.9수,한화 이글스,8,0,1,9,2,1,0,창원,18.3,0,34,,,,,,,,,
4.10목,한화 이글스,9,1,0,7,0,0,1,창원,15.5,0,52,,,,,,,,,
