day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.7,롯데 자이언츠,10,1,2,6,1,1,1,부산,10.7,0,41
4.8,롯데 자이언츠,15,0,2,5,0,2,1,부산,10.7,0,41
4.11,롯데 자이언츠,18,0,1,6,1,0,1,서울,15.9,0,52
4.12,롯데 자이언츠,6,0,1,4,0,1,0,서울,10.3,0,35
4.13,롯데 자이언츠,4,1,0,6,1,0,0,부산,11.1,0.2,71
4.15,롯데 자이언츠,16,0,0,8,1,0,1,부산,16.6,0,58
4.17,롯데 자이언츠,8,1,0,4,1,2,1,부산,14.5,0,53
4.18,롯데 자이언츠,11,0,0,8,1,1,0,부산,15.2,0,35
4.19,롯데 자이언츠,6,1,1,5,0,0,1,부산,14.8,0,70
4.2,롯데 자이언츠,16,2,3,10,1,1,1,광주,18.5,0,59
4.24,롯데 자이언츠,9,1,1,9,0,1,1,대구,28,0,20
4.26,롯데 자이언츠,7,0,2,4,0,1,0,대구,18.4,0,16
4.27,롯데 자이언츠,15,0,2,8,2,3,0,부산,18.5,0,31
4.28,롯데 자이언츠,7,1,3,5,1,1,1,부산,20.7,0,57
4.29,롯데 자이언츠,12,1,1,5,0,0,1,부산,17.4,0,76
5.1,롯데 자이언츠,16,0,1,6,0,0,1,서울,26.6,0,31
5.2,롯데 자이언츠,7,1,0,8,1,0,0,서울,25.5,0,43
5.3,롯데 자이언츠,10,0,1,6,1,0,1,서울,23.3,0,39
5.4,롯데 자이언츠,11,0,0,8,2,0,0,인천,17.8,0,52
5.5,롯데 자이언츠,9,0,1,4,2,0,1,인천,18.5,0,34
5.6,롯데 자이언츠,3,2,0,10,1,0,0,인천,15.6,0,47
5.8,롯데 자이언츠,4,0,1,6,0,2,0,부산,20.4,0,77
5.9,롯데 자이언츠,10,0,2,7,1,0,0,부산,18.1,0,71
5.11,롯데 자이언츠,12,3,2,6,0,2,0,대전,18.3,0,56
5.12,롯데 자이언츠,10,0,0,10,0,0,1,대전,21.7,0,45
5.13,롯데 자이언츠,7,0,0,11,0,0,0,대전,22.7,0,38
5.15,롯데 자이언츠,8,0,0,8,1,1,0,부산,21.5,0,62
5.16,롯데 자이언츠,8,0,1,5,2,0,0,부산,19.9,0,70
5.17,롯데 자이언츠,5,0,1,4,1,1,0,부산,21.8,0,32
5.18,롯데 자이언츠,9,0,2,4,1,0,1,부산,20.1,0,31
5.19,롯데 자이언츠,8,2,1,6,1,1,1,부산,19.4,0,48
5.2,롯데 자이언츠,11,0,0,4,1,0,1,부산,21.9,0,59
5.22,롯데 자이언츠,9,1,0,8,1,1,0,대구,26.3,0,25
5.23,롯데 자이언츠,7,1,0,11,0,0,1,대구,29.6,0,21
5.24,롯데 자이언츠,6,0,1,8,1,0,0,대구,20.6,0,80
5.25,롯데 자이언츠,11,1,0,5,2,1,1,서울,23.9,0,36
5.26,롯데 자이언츠,10,1,0,5,0,1,1,서울,22.8,0,40
5.27,롯데 자이언츠,12,1,2,9,1,0,1,서울,21.1,0,57
5.29,롯데 자이언츠,9,0,2,7,2,3,0,부산,20.8,0,71
5.3,롯데 자이언츠,10,0,0,7,1,2,1,부산,19.4,0,69
5.31,롯데 자이언츠,5,0,0,4,1,1,0,부산,20,0,65
6.1,롯데 자이언츠,9,1,3,4,2,1,1,부산,20.6,0,61
6.2,롯데 자이언츠,12,3,0,7,1,0,1,부산,21.3,0,59
6.3,롯데 자이언츠,10,0,1,5,1,2,0,부산,21.2,0,67
6.5,롯데 자이언츠,8,1,1,9,2,3,0,대전,28.7,0,48
6.6,롯데 자이언츠,4,0,0,9,0,0,0,대전,25.9,0,59
6.7,롯데 자이언츠,11,1,1,7,3,0,1,대전,28.1,0,42
6.9,롯데 자이언츠,6,0,1,7,0,1,0,부산,22.5,0,68
6.1,롯데 자이언츠,12,1,0,8,1,0,1,부산,22.6,0,66
6.12,롯데 자이언츠,10,1,0,9,0,0,1,부산,24.2,0,65
6.13,롯데 자이언츠,5,1,1,7,0,2,0,부산,22.3,0,64
6.14,롯데 자이언츠,8,1,1,10,0,1,0,부산,23.2,0,60
6.16,롯데 자이언츠,12,0,3,4,2,0,1,서울,24.5,0,60
6.17,롯데 자이언츠,10,0,2,8,0,2,0,서울,27.5,0,31
6.19,롯데 자이언츠,9,1,1,6,0,0,1,인천,29.5,0,47
6.2,롯데 자이언츠,7,0,1,7,1,1,0,인천,23.8,0,86
6.21,롯데 자이언츠,11,1,2,10,0,1,1,인천,26.1,0,66
6.22,롯데 자이언츠,15,1,0,5,1,0,1,서울,25.9,0,51
6.23,롯데 자이언츠,11,1,1,8,0,1,1,서울,28.9,0,47
6.24,롯데 자이언츠,11,0,0,5,1,0,1,서울,31.4,0,37
6.26,롯데 자이언츠,8,0,0,7,0,0,1,부산,20.2,0,73
6.27,롯데 자이언츠,14,1,1,3,0,0,1,부산,19.8,0,76
6.28,롯데 자이언츠,7,1,0,5,0,0,1,부산,24.5,0,66
6.29,롯데 자이언츠,4,0,1,10,0,1,0,서울,27.4,0,57
6.3,롯데 자이언츠,6,0,0,4,1,0,0,서울,21.3,0,82
7.1일,롯데 자이언츠,9,0,0,2,1,1,0,서울,24.9,0,67
7.3화,롯데 자이언츠,10,1,0,2,0,0,1,부산,26.6,0,64
7.4수,롯데 자이언츠,11,0,1,5,0,0,1,부산,26.2,0,69
7.7토,롯데 자이언츠,11,0,0,5,1,0,1,부산,22.8,0,67
7.8일,롯데 자이언츠,7,1,0,4,0,1,0,부산,23.7,0,69
7.12목,롯데 자이언츠,7,0,0,6,1,1,0,광주,28.7,0,75
7.17화,롯데 자이언츠,9,0,1,6,1,0,0,서울,27.9,0,63
7.18수,롯데 자이언츠,11,0,1,6,0,0,1,서울,27.6,0,81
7.19목,롯데 자이언츠,11,0,3,3,1,0,0,서울,23.4,0,85
7.24화,롯데 자이언츠,8,1,1,10,0,1,0,대전,32.6,0,62
7.25수,롯데 자이언츠,4,1,1,5,0,2,0,대전,31.9,0,68
7.26목,롯데 자이언츠,12,3,2,8,1,0,1,대전,31.7,0,65
7.27금,롯데 자이언츠,6,1,0,5,0,0,0,서울,30.1,0,59
7.28토,롯데 자이언츠,5,0,1,6,1,1,0,서울,31.4,0,55
7.29일,롯데 자이언츠,8,0,0,4,0,0,1,서울,31.7,0,57
7.31화,롯데 자이언츠,8,0,0,8,0,0,1,부산,30.3,0,66
8.1,롯데 자이언츠,11,0,1,4,0,1,0,부산,31.5,0,0
8.2,롯데 자이언츠,8,0,1,7,1,1,0,부산,31.7,0,0
8.3,롯데 자이언츠,17,1,2,7,1,0,1,부산,30.6,0,0
8.4,롯데 자이언츠,4,0,1,7,1,0,0,부산,30.9,0,0
8.5,롯데 자이언츠,10,0,1,3,0,1,1,부산,31.8,0,0
8.7,롯데 자이언츠,10,0,1,6,1,1,0,서울,34.2,0,0
8.8,롯데 자이언츠,8,0,0,5,0,0,1,서울,32.3,0,0
8.9,롯데 자이언츠,8,0,4,9,1,0,1,서울,31,0,0
8.11,롯데 자이언츠,14,0,1,4,1,1,1,광주,30.3,0,0
8.12,롯데 자이언츠,8,0,1,8,1,1,1,광주,29.7,0,0
8.14,롯데 자이언츠,10,0,1,9,1,1,1,부산,26.3,0.5,0.5
8.15,롯데 자이언츠,5,0,2,7,0,0,0,부산,28.4,0,0
8.16,롯데 자이언츠,7,1,1,7,2,1,0,부산,29.2,0,0
8.17,롯데 자이언츠,11,0,2,8,1,0,0,부산,29.9,0,0
8.18,롯데 자이언츠,10,0,0,6,0,1,1,부산,29.2,0,0
8.19,롯데 자이언츠,6,2,2,10,0,0,1,부산,29.4,0,0
8.21,롯데 자이언츠,4,2,0,6,0,0,1,대구,30.6,0,0
8.24,롯데 자이언츠,3,0,1,10,1,1,0,부산,23.4,0,0
8.25,롯데 자이언츠,7,1,1,3,2,0,1,부산,29.3,0,0
8.26,롯데 자이언츠,6,0,0,5,0,0,1,부산,29.7,0,0
8.29,롯데 자이언츠,14,2,1,4,3,0,1,인천,26,0,0
9.1토,롯데 자이언츠,5,0,0,5,1,0,0,부산,24.1,0,67
9.2일,롯데 자이언츠,15,3,1,4,1,0,1,부산,25.5,0,69
9.4화,롯데 자이언츠,8,1,2,10,0,0,1,부산,26.4,0,79
9.6목,롯데 자이언츠,6,0,0,9,0,0,0,대전,24,0,54
9.7금,롯데 자이언츠,7,1,1,4,0,0,1,부산,25.6,0,66
9.8토,롯데 자이언츠,7,2,3,8,0,0,1,부산,25.1,0,82
9.10월,롯데 자이언츠,12,2,1,5,0,0,1,부산,21.8,0,73
9.11화,롯데 자이언츠,4,0,0,11,0,1,0,부산,22.8,0,65
9.12수,롯데 자이언츠,9,0,1,4,1,0,1,광주,25.2,0,65
9.14금,롯데 자이언츠,7,0,0,7,1,0,0,광주,18.3,0.5,82
9.15토,롯데 자이언츠,8,0,1,8,2,0,0,대구,21.2,0,72
9.18화,롯데 자이언츠,5,0,1,5,1,1,0,부산,22.5,0,68
9.19수,롯데 자이언츠,7,0,0,6,0,2,0,부산,22.3,0,60
9.20목,롯데 자이언츠,13,0,1,10,1,3,0,서울,22.5,0,58
9.21금,롯데 자이언츠,12,1,0,7,0,1,0,서울,22.4,0,43
9.22토,롯데 자이언츠,6,0,0,7,1,0,0,대구,23.8,0,55
9.23일,롯데 자이언츠,10,1,2,5,0,0,1,부산,22.4,0,64
9.24월,롯데 자이언츠,6,1,1,3,0,0,0,대구,23.1,0,49
9.27목,롯데 자이언츠,8,0,0,9,0,2,0,부산,21.8,0,63
9.28금,롯데 자이언츠,4,1,0,5,0,3,0,대구,24.1,0,47
9.30일,롯데 자이언츠,5,0,0,6,1,0,0,광주,18.8,0,56
10.1월,롯데 자이언츠,5,0,0,7,0,1,0,광주,21,0,56
10.2화,롯데 자이언츠,12,1,0,8,1,1,1,광주,21.5,0,60
10.5금,롯데 자이언츠,16,0,0,9,1,1,1,인천,20.1,0,73
10.6토,롯데 자이언츠,7,0,3,10,0,1,0,인천,20.8,0,62
10.8월,롯데 자이언츠,12,1,0,5,0,4,1,서울,20.6,0,42
10.9화,롯데 자이언츠,8,1,1,3,1,0,1,서울,19.4,0,53
10.12금,롯데 자이언츠,12,0,0,5,2,0,1,부산,18.5,0,60
10.16화,롯데 자이언츠,5,0,0,14,0,0,0,인천,18.4,0,59
10.17수,롯데 자이언츠,12,1,0,5,0,1,1,인천,12.5,0,46
10.19금,롯데 자이언츠,9,0,2,5,0,0,1,부산,17.1,0,45
10.20토,롯데 자이언츠,6,1,0,9,1,1,0,부산,18.4,0,47
10.22월,롯데 자이언츠,7,0,2,9,0,2,0,인천,12.1,0,70
4.2화,롯데 자이언츠,11,1,3,5,0,2,1,부산,15.2,0,39
4.3수,롯데 자이언츠,6,0,1,8,0,2,1,부산,15.3,0,45
4.4목,롯데 자이언츠,8,0,3,3,0,0,1,부산,14.8,0,45
4.5금,롯데 자이언츠,10,0,2,10,1,1,0,광주,18.4,0,60
4.7일,롯데 자이언츠,10,1,0,4,2,0,0,광주,5.8,0,53
4.13토,롯데 자이언츠,12,0,0,9,0,2,0,부산,14,0,49
4.14일,롯데 자이언츠,15,1,1,8,0,1,0,부산,17.6,0,54
4.16화,롯데 자이언츠,9,0,0,6,1,1,0,서울,14.3,0,73
4.17수,롯데 자이언츠,5,0,0,2,1,1,0,서울,17.2,0,52
4.18목,롯데 자이언츠,8,0,0,7,3,0,0,서울,14.1,0,20
4.19금,롯데 자이언츠,6,0,3,8,0,0,1,부산,10.4,0,44
4.21일,롯데 자이언츠,10,1,2,12,2,1,0,부산,12.8,0,51
4.24수,롯데 자이언츠,8,0,1,4,0,0,1,인천,10.4,0,84
4.25목,롯데 자이언츠,9,0,0,4,2,0,1,인천,7.6,0,99
4.26금,롯데 자이언츠,11,0,2,4,0,1,0,부산,18.4,0,19
4.27토,롯데 자이언츠,5,0,2,4,0,1,1,부산,15.4,0,47
4.28일,롯데 자이언츠,2,0,0,5,1,3,0,부산,18.4,0,31
4.30화,롯데 자이언츠,6,0,0,4,0,3,0,부산,17.7,0,26
5.1수,롯데 자이언츠,10,0,4,9,0,3,1,대전,17.3,0,47
5.2목,롯데 자이언츠,10,1,2,9,0,1,1,대전,17.9,0,43
5.3금,롯데 자이언츠,6,0,1,9,0,2,0,부산,14.5,0,71
5.4토,롯데 자이언츠,8,0,2,8,1,1,0,부산,16.3,0,60
5.5일,롯데 자이언츠,6,0,2,7,0,0,0,부산,20.4,0,37
5.7화,롯데 자이언츠,7,0,1,6,0,0,1,광주,22.8,0,37
5.8수,롯데 자이언츠,10,0,4,12,0,1,1,광주,26.2,0,24
5.10금,롯데 자이언츠,3,1,0,5,0,0,0,부산,20,0,76
5.11토,롯데 자이언츠,7,0,2,4,0,0,1,부산,21.6,0,41
5.12일,롯데 자이언츠,15,1,0,4,1,1,1,부산,21.7,0,58
5.15수,롯데 자이언츠,11,0,0,10,1,0,0,부산,20.2,0,80
5.16목,롯데 자이언츠,8,0,0,9,2,1,0,부산,14.8,0,65
5.17금,롯데 자이언츠,5,1,1,9,1,1,0,인천,20.5,0,51
5.18토,롯데 자이언츠,12,0,0,3,1,0,1,인천,15.5,0.2,90
5.19일,롯데 자이언츠,13,0,1,8,2,2,1,인천,17.7,0,85
5.24금,롯데 자이언츠,3,1,3,9,0,1,1,서울,25.5,0,41
5.25토,롯데 자이언츠,13,0,2,1,5,0,0,서울,28.7,0,37
5.26일,롯데 자이언츠,9,0,2,5,0,1,0,서울,24.7,0,45
5.28화,롯데 자이언츠,12,1,1,5,0,0,1,부산,18.8,0,91
5.29수,롯데 자이언츠,8,0,1,7,1,1,1,부산,21.2,0,73
5.30목,롯데 자이언츠,11,0,3,4,1,1,1,부산,22.1,0,49
5.31금,롯데 자이언츠,16,1,2,15,0,0,1,대구,26.2,0,25
6.1토,롯데 자이언츠,9,0,1,5,2,0,1,대구,25.8,0,39
6.2일,롯데 자이언츠,10,1,0,5,1,1,0,대구,24.9,0,43
6.4화,롯데 자이언츠,11,1,1,7,1,1,0,부산,24.4,0,59
6.5수,롯데 자이언츠,11,0,2,7,1,1,1,부산,23,0,63
6.6목,롯데 자이언츠,15,0,2,5,0,0,1,부산,21.4,0,71
6.7금,롯데 자이언츠,6,1,0,6,0,0,0,서울,28.5,0,34
6.8토,롯데 자이언츠,2,0,0,8,1,0,0,서울,29.5,0,48
6.9일,롯데 자이언츠,11,0,1,10,0,0,1,서울,31.4,0,21
6.12수,롯데 자이언츠,10,1,1,2,1,0,1,부산,22.8,0,80
6.13목,롯데 자이언츠,11,0,1,6,2,2,1,부산,22.8,0,76
6.14금,롯데 자이언츠,11,1,1,8,0,1,1,부산,21.5,0,98
6.15토,롯데 자이언츠,6,0,1,5,3,0,0,부산,24.2,0,74
6.16일,롯데 자이언츠,8,0,0,4,1,0,1,부산,23.3,0,80
6.19수,롯데 자이언츠,15,1,0,14,1,1,1,서울,29.3,0,50
6.20목,롯데 자이언츠,12,0,0,10,1,1,1,서울,28.6,0,49
6.21금,롯데 자이언츠,7,1,0,10,1,1,0,인천,26.7,0,74
6.22토,롯데 자이언츠,4,2,1,6,1,0,1,인천,22.8,0,85
6.23일,롯데 자이언츠,8,1,0,8,1,0,0,인천,22.2,0,88
6.26수,롯데 자이언츠,6,1,0,7,0,0,1,부산,24.6,0,63
6.27목,롯데 자이언츠,5,0,0,6,1,1,1,부산,23.2,0,70
7.2화,롯데 자이언츠,7,1,2,6,1,3,0,부산,24.9,0,91
7.3수,롯데 자이언츠,9,1,1,5,0,0,1,부산,24.5,0,80
7.6토,롯데 자이언츠,8,1,0,7,0,1,0,광주,26.5,0,78
7.9화,롯데 자이언츠,6,0,2,5,0,0,0,서울,24.9,0,81
7.10수,롯데 자이언츠,13,1,2,9,0,0,1,서울,26,0,79
7.12금,롯데 자이언츠,4,0,3,7,1,3,0,창원,29,0,70
7.13토,롯데 자이언츠,11,2,2,7,0,2,0,창원,29.6,0,71
7.14일,롯데 자이언츠,8,0,0,8,0,1,0,창원,28.6,0,76
7.16화,롯데 자이언츠,5,1,0,9,2,1,0,부산,27.9,0,68
7.17수,롯데 자이언츠,11,1,1,8,1,0,0,부산,27.9,0,64
7.23화,롯데 자이언츠,10,1,1,7,1,1,1,대전,27.3,0,95
7.24수,롯데 자이언츠,14,1,2,5,0,1,1,대전,28.4,0,77
7.25목,롯데 자이언츠,7,1,1,6,1,1,1,대전,29.3,0,71
7.26금,롯데 자이언츠,4,0,0,4,0,1,0,부산,27.9,0,64
7.27토,롯데 자이언츠,10,1,0,10,1,1,1,부산,26.2,0,63
7.28일,롯데 자이언츠,4,0,0,5,1,1,0,부산,26.4,0,85
7.30화,롯데 자이언츠,10,1,0,6,0,1,1,부산,27.3,0,73
7.31수,롯데 자이언츠,7,0,4,4,0,2,0,부산,29.3,0,67
8.1목,롯데 자이언츠,7,1,0,5,0,2,0,부산,27.4,0,73
8.6화,롯데 자이언츠,10,0,2,7,1,0,1,부산,28.6,0,78
8.7수,롯데 자이언츠,13,0,1,10,1,0,1,부산,28.7,0,69
8.8목,롯데 자이언츠,14,0,1,3,2,0,1,서울,31.8,0,64
8.9금,롯데 자이언츠,5,0,1,3,1,0,0,서울,30.1,0,78
8.10토,롯데 자이언츠,4,0,0,5,0,0,0,인천,27.8,0,89
8.11일,롯데 자이언츠,4,1,0,6,1,1,0,인천,29.8,0,93
8.13화,롯데 자이언츠,7,1,0,6,1,1,0,서울,32,0,52
8.14수,롯데 자이언츠,14,0,1,3,1,0,0,서울,30.7,0,60
8.15목,롯데 자이언츠,7,0,0,11,1,0,0,부산,29.2,0,57
8.16금,롯데 자이언츠,9,1,1,12,1,0,1,부산,30.8,0,53
8.17토,롯데 자이언츠,10,1,1,1,1,1,1,부산,30.3,0,58
8.20화,롯데 자이언츠,11,0,0,5,2,1,1,대전,31,0,45
8.21수,롯데 자이언츠,10,0,0,8,0,1,1,대전,31.4,0,73
8.25일,롯데 자이언츠,4,0,0,8,1,2,0,부산,27,0,59
8.27화,롯데 자이언츠,14,1,4,14,0,1,1,광주,29.1,0,58
8.28수,롯데 자이언츠,9,0,0,8,0,0,0,광주,29.1,0,47
8.29목,롯데 자이언츠,4,0,1,2,0,0,1,부산,28.9,0,68
8.30금,롯데 자이언츠,5,2,0,7,0,0,1,부산,26.1,0,72
